ID,Movie_Duration,Movie_Name,Movie_Rating,Movie_Vote,Movie_Year
1,117,Spider-Man: New Generation,8.6,142515,2018
2,114,Bumblebee,7.1,55320,2018
3,128,Mortal Engines,6.2,49779,2018
4,132,Vice,7.2,45079,2018
5,116,La mule,7.2,22629,2018
6,40,Le Protecteur d'Istanbul,7.6,21417,2018
7,156,K.G.F: Chapter 1,8.5,21036,2018
8,164,Zero,5.8,18664,2018
9,110,Dumplin',6.7,16642,2018
10,90,Holmes & Watson,3.4,8903,2018
11,103,Seconde chance,5.8,7843,2018
12,60,Nightflyers,6.0,7592,2018
13,542,Dogs of Berlin,7.5,5547,2018
14,60,Deadly Class,8.0,4590,2018
15,60,Terre de marées,7.1,4442,2018
16,Unknown,The ABC Murders,6.6,4255,2018
17,16,Vader: A Star Wars Theory Fan Series,9.3,4176,2018
18,45,Apharan,8.8,4004,2018
19,116,Bienvenue à Marwen,5.9,3593,2018
20,116,Kedarnath,5.9,3481,2018
21,130,Bizim Için Sampiyon,8.5,3265,2018
22,204,Watership Down,7.2,3222,2018
23,49,Doctor Who,6.4,3093,2005
24,68,Ellen DeGeneres: En commun,6.5,3015,2018
25,60,L'Accusé: Meurtre et injustice dans une petite ville,7.4,2874,2018
26,50,Doctor Who,5.7,2632,2005
27,167,Odiyan,6.0,2621,2018
28,39,Sunderland: Envers et contre tous,8.2,2265,2018
29,98,The Axiom,6.8,2223,2018
30,43,Titans,8.7,2201,2018
31,42,Flash,9.3,2151,2014
32,42,Flash,9.3,2051,2014
33,23,Girls Hostel,9.0,2011,2018
34,46,Titans,8.5,2008,2018
35,13,Vader: A Star Wars Theory Fan Series,9.1,1996,2018
36,44,Vikings,8.8,1872,2013
37,35,Rangbaaz,8.8,1784,2018
38,42,Arrow,9.2,1765,2012
39,115,Struggle: The Life and Lost Art of Szukalski,8.1,1754,2018
40,41,Titans,8.6,1660,2018
41,27,Plan Coeur,7.5,1655,2018
42,24,Le trio venu d'ailleurs: Les Contes d'Arcadia,8.0,1567,2018
43,45,Vikings,8.0,1468,2013
44,42,Supergirl,8.6,1373,2015
45,92,Backtrace,3.7,1367,2018
46,85,Astérix: Le secret de la potion magique,7.0,1351,2018
47,44,Vikings,7.3,1348,2013
48,44,Vikings,7.2,1277,2013
49,42,Arrow,8.8,1212,2012
50,22,The Good Place,9.2,1211,2016
